visitor_id,age_group,zone_visited,discovery_source,satisfaction_rating,would_recommend,comment,sentiment,visit_date
52bb6e3a-a331-4859-97ef-7d67ca861ff8,Under 18,Kids Zone,Newspaper,2,1,"Signage was confusing, hard to find zones.",Negative,2025-12-12
708b2778-74a6-4803-a8ec-35d8fb146b7e,18-25,Modern Art,Friends/Family,3,1,"Average experience, could be better.",Neutral,2025-12-11
6e65ed42-f396-41dd-87d2-174409cad3a6,50+,Photography,College/Work,3,0,"It was okay, nothing special.",Neutral,2025-12-07
d0824cef-1529-4551-9332-bd80363a0c0a,18-25,Modern Art,Social Media,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-01
e41d4d61-f668-4e31-8a97-f78753e46d68,36-50,Heritage Crafts,Social Media,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-12
38e7d225-07f5-4f4f-a124-b66d29f07ece,26-35,Food & Culture,Online Ads,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-08
95470bff-aee0-4762-b861-88e1d5070517,36-50,Heritage Crafts,Social Media,5,1,"Great experience overall, well organized.",Positive,2025-12-20
9b4a064a-8351-4b99-b944-4e11b56761c7,36-50,Kids Zone,Online Ads,4,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-21
f7e34349-2fdd-4e72-8df3-6ff40d98e598,Under 18,Heritage Crafts,Online Ads,5,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-07
392fb24f-3c6b-44ba-961a-020ea8da900b,36-50,Food & Culture,College/Work,3,1,"It was okay, nothing special.",Neutral,2025-12-13
9bc60e24-3c11-4453-b4a9-91aaa0033cd6,Under 18,Food & Culture,College/Work,2,1,Long queues at food stalls.,Negative,2025-12-05
fd7b3aa3-72a9-466c-97af-32a1aa43c9f8,50+,Heritage Crafts,Online Ads,2,1,"Too crowded on weekends, hard to move around.",Negative,2025-12-05
83df2a05-a798-46d8-988a-8dbb84d5a542,36-50,Kids Zone,Newspaper,4,1,Friendly staff and clean premises.,Positive,2025-12-18
51001d83-bebc-42a0-a76f-e5564db2394d,Under 18,Kids Zone,Social Media,5,0,"Great experience overall, well organized.",Positive,2025-12-21
4d291f8b-ee5a-4d05-940d-fa8ad09c1952,18-25,Heritage Crafts,Friends/Family,4,0,Friendly staff and clean premises.,Positive,2025-12-07
a1307f1a-eca4-4882-ac84-57cf54ea09ae,18-25,Heritage Crafts,Social Media,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-19
09e7db87-729f-451b-a68e-7b3dd8efbe95,50+,Tech Innovations,Friends/Family,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-12
932cee95-ba75-4062-8090-48a1b511b996,50+,Food & Culture,College/Work,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-17
296d2a79-62c5-4bd7-be67-9a9b38c86c50,18-25,Modern Art,Friends/Family,4,1,Friendly staff and clean premises.,Positive,2025-12-15
c7aaa338-e21c-42a0-9a77-ac4fa9590dce,Under 18,Modern Art,College/Work,4,1,Friendly staff and clean premises.,Positive,2025-12-05
51358ccc-df83-46bf-b095-38571351c9b1,Under 18,Food & Culture,Friends/Family,4,1,Friendly staff and clean premises.,Positive,2025-12-17
fcadc278-7ee8-47c6-b8aa-0ab1273c92b2,36-50,Kids Zone,College/Work,4,1,Friendly staff and clean premises.,Positive,2025-12-18
4c1c1476-db87-4514-9749-bd0dd0561319,18-25,Heritage Crafts,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-17
3be343ca-34bd-4213-8ba6-e47dec3936f0,Under 18,Food & Culture,College/Work,4,0,Friendly staff and clean premises.,Positive,2025-12-15
4d054098-bd98-4c72-851c-7e788b53fc3c,50+,Tech Innovations,Newspaper,4,1,Friendly staff and clean premises.,Positive,2025-12-09
51ed0a3e-338c-4bc1-97b6-298d4b824a46,50+,Food & Culture,College/Work,5,1,Friendly staff and clean premises.,Positive,2025-12-08
dc66324a-05dc-4d17-8fd0-305e4ba23ebb,26-35,Photography,Online Ads,4,0,Friendly staff and clean premises.,Positive,2025-12-07
a9cd980d-7586-4ff4-803b-94b67b725781,36-50,Food & Culture,Social Media,2,1,"Too crowded on weekends, hard to move around.",Negative,2025-12-03
e91d3df1-eb9e-48c3-a79f-4476ed6c20a7,36-50,Photography,Social Media,4,1,"Great experience overall, well organized.",Positive,2025-12-04
5f77e65a-3cde-489d-84fd-6bd6769ae9a9,26-35,Modern Art,Social Media,5,0,"Tech zone was impressive, learned a lot.",Positive,2025-12-15
29f31eaa-2090-4c10-accb-708f93dd3cc9,Under 18,Modern Art,Friends/Family,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-08
9fb5d3a1-c2dc-4e05-ab96-290de7786f1a,36-50,Modern Art,Online Ads,3,1,"Some zones were good, others not so much.",Neutral,2025-12-14
6021020d-011c-49e3-a160-7e86a85a9e75,26-35,Modern Art,Social Media,3,1,"Average experience, could be better.",Neutral,2025-12-11
6339ac91-ea03-4e29-b860-6137130bf32b,36-50,Kids Zone,College/Work,3,1,"Average experience, could be better.",Neutral,2025-12-17
a4f5124f-1a53-4138-8cf4-3b5ab3f1972b,50+,Kids Zone,Online Ads,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-08
60555f9c-b03f-4d76-85a7-236b0eedb4a2,26-35,Heritage Crafts,Social Media,3,0,"It was okay, nothing special.",Neutral,2025-12-06
926fe201-9529-43fe-ad82-1dd3e0ff7faf,36-50,Tech Innovations,College/Work,5,1,"Great experience overall, well organized.",Positive,2025-12-09
3b5cbbe8-0efb-43fd-a485-5002767cdb78,50+,Food & Culture,Online Ads,4,1,"Great experience overall, well organized.",Positive,2025-12-11
cead1ce0-9e67-4f28-8782-40009070415b,Under 18,Heritage Crafts,College/Work,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-03
508ec928-7f10-47e8-ad0d-542b5e0f71f4,Under 18,Tech Innovations,College/Work,5,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-08
296442e8-6d88-46f6-b143-1d57e76a7216,Under 18,Heritage Crafts,Friends/Family,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-18
aed52080-5d8c-42fc-87f5-e0c874fd9cd4,50+,Food & Culture,Social Media,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-08
d0a212c0-5b81-436a-b195-9d9ea646fe76,26-35,Heritage Crafts,Social Media,4,1,"Great experience overall, well organized.",Positive,2025-12-10
d362156f-4c81-4fdf-9ac3-5e344d7b60c4,50+,Photography,College/Work,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-17
f21940c9-a898-48a4-8c09-802ee77193a4,26-35,Photography,Social Media,4,1,"Great experience overall, well organized.",Positive,2025-12-09
af891d13-356f-4b76-b955-ecfb164f91d9,Under 18,Heritage Crafts,College/Work,2,1,Photography section felt empty and poorly curated.,Negative,2025-12-07
70fc9c82-2a59-4d83-b628-f62c7ee2cea5,18-25,Kids Zone,Online Ads,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-21
9a8d6fe1-2781-4cf9-a5bd-9b39a6ca0c56,36-50,Food & Culture,Friends/Family,5,0,"Tech zone was impressive, learned a lot.",Positive,2025-12-17
dbd73631-3f03-49b0-ba23-4c8a445610fb,18-25,Tech Innovations,Online Ads,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-21
4c685247-93f6-4826-9e48-fab8d684eae2,26-35,Modern Art,Online Ads,3,0,"Average experience, could be better.",Neutral,2025-12-01
94bd971d-92ca-4777-994e-27326e643675,26-35,Heritage Crafts,Friends/Family,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-13
d4fca224-ce58-4e7d-b307-19029b735ead,26-35,Kids Zone,Friends/Family,3,1,"Some zones were good, others not so much.",Neutral,2025-12-02
478272b9-61f7-42fb-b150-18d532ef5793,18-25,Food & Culture,Social Media,4,1,"Great experience overall, well organized.",Positive,2025-12-12
21dafa20-fddb-4a71-9c96-3fc9db260bbc,26-35,Tech Innovations,Social Media,5,0,Friendly staff and clean premises.,Positive,2025-12-10
a1c47c3e-b4da-41dd-b89d-6b96b01a1ccb,18-25,Modern Art,Social Media,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-16
c67e024f-8e90-48cd-b779-0b0cf3ff0150,18-25,Tech Innovations,Social Media,5,1,Friendly staff and clean premises.,Positive,2025-12-03
ceedb607-3798-4a92-b7a7-6350210b5c88,18-25,Tech Innovations,Friends/Family,4,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-01
5b7d994c-b1c5-42b7-b690-f4a80c000699,18-25,Tech Innovations,Social Media,5,0,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-05
2ae4c82c-1bb2-4bde-af6a-d969d96d26f6,50+,Photography,Friends/Family,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-16
14725e7e-1fa0-437b-b8a8-d8002fa2bb4d,50+,Modern Art,Newspaper,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-17
2a4314ca-92c7-486c-8404-9cf357f76410,50+,Photography,Social Media,3,1,"Average experience, could be better.",Neutral,2025-12-17
1c66d684-f5b6-4fbc-a204-ad217fb76075,50+,Kids Zone,College/Work,4,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-21
7cd6be43-1979-452e-8244-43044952042a,Under 18,Modern Art,Social Media,5,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-04
83b2734c-943b-4522-a950-26598f3d5cb9,50+,Food & Culture,Social Media,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-18
ff943cf0-3c8a-4aa4-ab01-bb845df87061,36-50,Photography,Social Media,4,1,"Great experience overall, well organized.",Positive,2025-12-03
5fa0da4d-f18e-489f-9c36-3f1aebb20517,50+,Photography,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-16
9c2ffca3-e352-443e-b506-681bfd134841,26-35,Tech Innovations,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-08
b4aca8ac-2a9e-45d2-ba90-d6c5f17626a2,36-50,Photography,Friends/Family,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-16
c84f6a0d-16ef-49d7-ac56-9cafab28e72f,Under 18,Photography,Newspaper,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-03
2958d620-2ec5-42fe-afa0-6af0510dd74a,26-35,Kids Zone,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-10
8dc042d4-4f1f-4994-b301-6f718f4c0fd5,18-25,Kids Zone,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-09
5d2ee8a1-ed79-4287-9cd8-cbcd92f3d1a1,18-25,Photography,Newspaper,3,1,"It was okay, nothing special.",Neutral,2025-12-17
1fff0e4a-52ef-40ec-a392-5e984bc813e5,36-50,Tech Innovations,Friends/Family,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-18
2c30f339-81b1-473c-8881-6091a212af85,Under 18,Modern Art,Online Ads,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-15
af8da9d7-a632-4b1f-84ef-93003000c23a,36-50,Heritage Crafts,Online Ads,5,1,Friendly staff and clean premises.,Positive,2025-12-07
fb633dae-1d57-454d-ba80-71dd6654f5a4,Under 18,Heritage Crafts,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-12
e2a033be-d353-4cde-99e8-c3e67c936986,50+,Modern Art,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-12
e9f3217d-79f7-48f3-a039-b447d3b1f592,36-50,Modern Art,Friends/Family,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-16
86c5bc4b-989b-4c2d-b5a5-d9b29df02573,36-50,Photography,Social Media,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-12
0cb64030-ad17-4ca8-855b-41053caac6a8,Under 18,Food & Culture,College/Work,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-11
9576cfbd-cc53-45b9-ac6e-5e020aafe582,18-25,Food & Culture,College/Work,3,0,"It was okay, nothing special.",Neutral,2025-12-10
21044941-ff1a-414b-a275-5abb1e5fb214,Under 18,Tech Innovations,Friends/Family,4,0,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-19
772cd736-33c9-4b35-bfa9-eb8a21d6cba3,36-50,Heritage Crafts,College/Work,4,0,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-09
09649791-e54e-45be-9f19-b5ec36995389,26-35,Heritage Crafts,Newspaper,4,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-09
7677627d-3e4c-4ead-a9ae-6b6d29967306,26-35,Food & Culture,Social Media,3,1,"Some zones were good, others not so much.",Neutral,2025-12-14
da0406da-2093-47e4-8abf-9e516a0e8585,36-50,Heritage Crafts,Online Ads,5,0,"Tech zone was impressive, learned a lot.",Positive,2025-12-18
e5d81b6d-ae2b-463f-ad23-10897684b355,Under 18,Modern Art,Social Media,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-15
ee60a454-138b-4716-8676-a878422e918d,26-35,Kids Zone,Friends/Family,3,0,"It was okay, nothing special.",Neutral,2025-12-18
8584d316-8066-45b7-b3c9-4ee860c1b28a,36-50,Modern Art,Friends/Family,5,1,"Great experience overall, well organized.",Positive,2025-12-09
bd873d41-b1d9-47a4-b472-8ba51d346a88,26-35,Photography,Friends/Family,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-16
f8bc4e84-0c5a-41f7-afda-e1a08f23767c,36-50,Kids Zone,Social Media,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-03
33035e18-4b99-41b2-afa6-11bd558959a9,36-50,Modern Art,Friends/Family,5,1,Friendly staff and clean premises.,Positive,2025-12-11
11ba6123-a60b-4866-afc7-c7b994854b52,18-25,Food & Culture,Friends/Family,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-06
2dc4f703-79a2-477a-adae-65f4ec68a6b0,Under 18,Tech Innovations,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-19
43f0eae4-2a3e-4005-b9d2-7a97272c9120,36-50,Modern Art,Friends/Family,5,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-07
998734cc-b95b-4318-b45c-79a52ea889f5,26-35,Food & Culture,College/Work,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-19
d21b1787-8c8a-4db2-99d2-49b390140d46,50+,Tech Innovations,Friends/Family,3,1,"It was okay, nothing special.",Neutral,2025-12-07
d86f8683-c9f7-456c-8099-a54d46710f95,18-25,Heritage Crafts,Friends/Family,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-14
6b013cf1-0c6b-4c87-a3fa-d88497762f86,18-25,Tech Innovations,Social Media,4,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-16
474ae8e2-6928-446c-b6ab-78018378484f,Under 18,Kids Zone,Social Media,4,0,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-17
944a6844-598a-45e2-b229-73e336c3d36a,18-25,Food & Culture,College/Work,3,1,"Average experience, could be better.",Neutral,2025-12-05
02c8da6f-4746-400d-b3cb-13f6983af87b,Under 18,Kids Zone,Online Ads,2,1,Lighting in some zones was too dim.,Negative,2025-12-21
a776c151-2a19-4764-b23c-0eb61974bfef,50+,Food & Culture,College/Work,4,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-05
d941ec04-5738-4c00-af25-c43a8c7566fb,Under 18,Modern Art,Newspaper,3,1,"Some zones were good, others not so much.",Neutral,2025-12-05
58051358-538a-4399-b525-ca2556669f54,50+,Photography,Newspaper,2,1,"Signage was confusing, hard to find zones.",Negative,2025-12-04
f4c8a375-9e7a-4b19-a91a-8064079d9ab1,26-35,Heritage Crafts,Friends/Family,4,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-13
245990a8-0b9f-47c6-9879-dcdd1ee0161a,50+,Tech Innovations,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-15
3339b17a-980f-485e-81ed-426ac982143b,18-25,Tech Innovations,Friends/Family,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-08
b20dd99a-f26b-45cb-ad86-0542601740d3,26-35,Heritage Crafts,Social Media,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-21
57330a78-2fdc-4015-9827-fccba0be479a,26-35,Food & Culture,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-12
842e139e-790a-452e-93b5-0bbd1217b5dd,Under 18,Modern Art,Newspaper,3,1,"Average experience, could be better.",Neutral,2025-12-12
dd5f57ff-5391-4db5-a17c-1629f6fb2cf1,18-25,Photography,Social Media,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-17
cb04dfee-adf6-4d28-922a-e77bef8b86e3,36-50,Heritage Crafts,Online Ads,4,1,"Great experience overall, well organized.",Positive,2025-12-07
f9cee381-371d-4c6d-80c9-c31b8858b4e1,18-25,Modern Art,Social Media,3,0,"Average experience, could be better.",Neutral,2025-12-04
c205ef3e-b8fd-466c-884a-50c0438f718b,50+,Kids Zone,Social Media,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-14
b56850e0-e0ea-4f73-a7a5-b72faac27625,50+,Photography,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-07
6796ddea-6563-46bf-a684-00d86a184a05,18-25,Heritage Crafts,Friends/Family,4,1,Friendly staff and clean premises.,Positive,2025-12-06
c4f6f205-2330-42fd-9429-8a9c7ab237aa,26-35,Food & Culture,College/Work,2,0,Long queues at food stalls.,Negative,2025-12-06
1fc6a945-8460-4bbe-aa1f-ad16b56fffd1,18-25,Tech Innovations,Newspaper,4,1,"Great experience overall, well organized.",Positive,2025-12-15
211162cc-985a-4e5f-87d1-c479e58ae1fc,36-50,Heritage Crafts,College/Work,5,0,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-15
e89a63af-bbce-4020-b596-0f777cda97c3,Under 18,Modern Art,Social Media,5,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-14
126d1071-3c45-4a75-b87f-327c690c954c,18-25,Heritage Crafts,Friends/Family,5,1,Friendly staff and clean premises.,Positive,2025-12-10
33397a40-c921-42a0-b307-4e0d6a492cda,Under 18,Food & Culture,College/Work,3,1,"It was okay, nothing special.",Neutral,2025-12-18
3c1ef0e7-21b8-4f8d-9993-ac6d64f56c4b,26-35,Food & Culture,Friends/Family,5,0,"Great experience overall, well organized.",Positive,2025-12-01
6d21292a-effe-431a-869d-f2baebcc8382,18-25,Photography,College/Work,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-02
ff2ab096-c9bc-4108-8bb2-325e42feb10d,36-50,Food & Culture,Social Media,5,0,"Loved the variety of stalls, especially the food section!",Positive,2025-12-09
5f674746-f609-4293-9e0c-f1ecc1c3b3be,Under 18,Modern Art,College/Work,3,1,"Some zones were good, others not so much.",Neutral,2025-12-09
bd819287-735a-41cc-b290-3c632f8d6624,Under 18,Tech Innovations,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-11
7b3c6927-fe71-4c65-8377-349ad2f21eb9,Under 18,Tech Innovations,College/Work,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-21
0480b6c4-3c5b-41fb-88a3-b0c02bc8768d,18-25,Heritage Crafts,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-15
9224e89f-8ebe-4817-81cb-888dfc2280c8,36-50,Food & Culture,College/Work,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-16
0367a7ad-ce36-4e53-9c62-d5ec9d5d906b,26-35,Modern Art,College/Work,5,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-20
57c7861c-fdd4-4ebc-93c7-57b18722c02f,26-35,Modern Art,Friends/Family,3,1,"Average experience, could be better.",Neutral,2025-12-20
fb6f673b-b624-4532-96f5-7b9aacc8ecdd,18-25,Heritage Crafts,Friends/Family,5,1,Friendly staff and clean premises.,Positive,2025-12-14
8fb744f1-665e-4396-9227-107da2659766,Under 18,Heritage Crafts,Friends/Family,3,1,"Some zones were good, others not so much.",Neutral,2025-12-06
46e19741-8cb7-428e-8393-11c03ea08948,Under 18,Food & Culture,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-04
6465c7eb-0dde-4a7f-bcf3-3ef15c0a4bc4,36-50,Food & Culture,Social Media,3,1,"Average experience, could be better.",Neutral,2025-12-15
442ae86e-a29c-43ee-8b71-a72996a6bea0,18-25,Kids Zone,College/Work,4,0,"Tech zone was impressive, learned a lot.",Positive,2025-12-04
3d889a76-b8d5-4b62-b6bd-41ff5ddd3fb3,26-35,Tech Innovations,Friends/Family,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-09
b46ef280-9f0d-49bd-9961-f8dc175432b6,18-25,Modern Art,Social Media,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-10
9d027323-0afa-45da-b06b-ac05d72b2e95,26-35,Kids Zone,Social Media,3,1,"It was okay, nothing special.",Neutral,2025-12-08
f91e7981-af05-483f-b46c-34e4918a5d50,18-25,Kids Zone,Newspaper,4,1,Friendly staff and clean premises.,Positive,2025-12-15
c5333e6c-f333-48d9-a8a9-6bdc021fc738,Under 18,Heritage Crafts,Friends/Family,5,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-15
b2768355-2223-4900-9753-dbe50e7255da,26-35,Tech Innovations,Social Media,5,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-20
39a70ef8-54c4-4c5f-84df-1cbbb95a6446,Under 18,Kids Zone,Friends/Family,3,0,"It was okay, nothing special.",Neutral,2025-12-15
31a3f2f4-981f-41ea-afdf-8d6a50e10e28,Under 18,Kids Zone,Social Media,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-20
ee95948d-7719-4ce2-829a-dc9aa6b053ac,Under 18,Tech Innovations,Friends/Family,4,1,"Great experience overall, well organized.",Positive,2025-12-07
ffb5cad8-851b-42cc-8e62-b2b6266016be,50+,Tech Innovations,College/Work,4,0,"Loved the variety of stalls, especially the food section!",Positive,2025-12-01
cc7c3d30-fff7-4752-99fe-898652f5e769,26-35,Tech Innovations,Social Media,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-07
0751d0ee-3eff-40d9-9353-7817e822a4d6,50+,Heritage Crafts,Friends/Family,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-13
03cfdeed-872b-4250-b122-422c68d5e36a,18-25,Photography,Newspaper,4,1,Friendly staff and clean premises.,Positive,2025-12-06
